id,name,lat,lng,price,size,parking,furnished,images
87,315 South Beech Street apt3,43.04763959,-76.12737587,1075,null,TRUE,TRUE,images/87.png
88,315 South Beech Street apt4,43.04763959,-76.12737587,1450,522,TRUE,TRUE,images/88.png
89,315 South Beech Street apt5,43.04763959,-76.12737587,1500,null,TRUE,TRUE,images/89.png
90,315 South Beech Street apt6,43.04763959,-76.12737587,1325,null,TRUE,TRUE,images/90.png
91,315 South Beech Street apt7,43.04763959,-76.12737587,1325,null,TRUE,TRUE,images/91.png
92,315 South Beech Street apt8,43.04763959,-76.12737587,1175,null,TRUE,TRUE,images/92.png
93,315 South Beech Street apt10,43.04763959,-76.12737587,1150,null,TRUE,TRUE,images/93.png
94,315 South Beech Street apt11,43.04763959,-76.12737587,1325,null,TRUE,TRUE,images/94.png
95,315 South Beech Street apt12,43.04763959,-76.12737587,1300,null,TRUE,TRUE,images/95.png
96,321 Westcott Street apt1,43.04473155,-76.11929054,1150,null,FALSE,TRUE,images/96.png
97,321 Westcott Street apt2,43.04473155,-76.11929054,1125,null,FALSE,TRUE,images/97.png
98,321 Westcott Street apt3,43.04473155,-76.11929054,1000,null,FALSE,TRUE,images/98.png
99,321 Westcott Street apt5,43.04473155,-76.11929054,1075,null,FALSE,TRUE,images/99.png
100,321.5 Westcott Street apt1,43.04456452,-76.118812,1025,null,FALSE,TRUE,images/100.png
101,321.5 Westcott Street apt2,43.04456452,-76.118812,1300,null,FALSE,TRUE,images/101.png
102,321.5 Westcott Street apt3,43.04456452,-76.118812,1100,null,FALSE,TRUE,images/102.png
103,321.5 Westcott Street apt4,43.04456452,-76.118812,1150,null,FALSE,TRUE,images/103.png
104,321.5 Westcott Street apt5,43.04456452,-76.118812,1150,null,FALSE,TRUE,images/104.png
105,321.5 Westcott Street apt6,43.04456452,-76.118812,1300,null,FALSE,TRUE,images/105.png
106,321.5 Westcott Street apt7,43.04456452,-76.118812,1275,null,FALSE,TRUE,images/106.png
107,321.5 Westcott Street apt8,43.04456452,-76.118812,1075,null,FALSE,TRUE,images/107.png
108,327 Westcott Street apt3,43.04431864,-76.11926451,1300,null,TRUE,TRUE,images/108.png
109,410 Westcott Street apt1,43.04368652,-76.11985522,1300,null,TRUE,TRUE,images/109.png
110,410 Westcott Street apt2,43.04368652,-76.11985522,1300,null,TRUE,TRUE,images/110.png
111,535 Westcott Street apt5,43.04049841,-76.11906535,1350,null,TRUE,TRUE,images/111.png
112,535 Westcott Street apt6,43.04049841,-76.11906535,1425,null,TRUE,TRUE,images/112.png
113,614 South Crouse Ave,43.04374715,-76.13722606,1400,null,TRUE,TRUE,images/113.png
114,1011 East Adams St 1F,43.04336207,-76.13559586,675,null,FALSE,TRUE,images/114.png
115,1011 East Adams St 2F,43.04336207,-76.13559586,775,null,FALSE,TRUE,images/114.png
116,1011 East Adams St 3F,43.04336207,-76.13559586,800,null,FALSE,TRUE,images/114.png
117,509 University Ave 1F,43.04440024,-76.13404211,725,null,FALSE,TRUE,images/117.png
118,509 University Ave 2F,43.04440024,-76.13404211,750,null,FALSE,TRUE,images/117.png
119,509 University Ave 3F,43.04440024,-76.13404211,775,null,FALSE,TRUE,images/117.png
120,Fayette Place Apartments,43.04824003,-76.14115892,N/A,null,TRUE,TRUE,
121,Fayette Place Apartments,43.04824003,-76.14115892,N/A,null,TRUE,FALSE,
122,Theory Syracuse,43.04707905,-76.13692085,1859,449,TRUE,TRUE,
123,The Coda Apartments,43.04712531,-76.13642733,1995,402,TRUE,TRUE,
124,The Coda Apartments,43.04712531,-76.13642733,2195,484,TRUE,TRUE,
125,The Coda Apartments,43.04712531,-76.13642733,2595,680,TRUE,TRUE,
126,Mayflower Apartments,43.04657647,-76.13525789,1995,513,FALSE,TRUE,
127,Copper Beech Commons Apartments,43.04815318,-76.13457715,1950,890,TRUE,TRUE,
128,1107 E Genesee St,43.04732661,-76.13402132,1100,450,FALSE,TRUE,
129,502 University Apartments,43.04497889,-76.13481463,1200,800,FALSE,TRUE,
130,410 Westcott St Apartments,43.04368845,-76.11986863,1425,500,FALSE,TRUE,
131,1924 E Genesee St Apartments,43.04526316,-76.12025646,1450,750,TRUE,TRUE,
132,309 Columbus Ave Apartments,43.04651897,-76.12105735,1350,575,TRUE,TRUE,
133,514 Walnut Ave,43.04597209,-76.13249157,1345,326,TRUE,TRUE,
134,1108 Madison St,43.04509611,-76.12940399,1080,null,FALSE,TRUE,
135,133-35 Roosevelt Ave,43.03578202,-76.11733366,1200,null,FALSE,FALSE,
136,620-22 Fellows Ave,43.03410201,-76.11513653,1100,null,FALSE,FALSE,
137,Campus West,43.03668072,-76.14104656,1925,379,TRUE,TRUE,
138,1828 E Genesee St,43.04574951,-76.12146758,700,360,TRUE,TRUE,
139,121 Lexington Ave,43.04732587,-76.12258726,1350,675,TRUE,TRUE,
140,Carriage House,43.02813694,-76.13642793,950,520,TRUE,TRUE,
141,Carriage House,43.02813694,-76.13642793,1075,713,TRUE,TRUE,
142,201 N Hughes Pl,43.0270371,-76.13373806,650,100,FALSE,TRUE,
143,Madison Towers,43.04580876,-76.1436367,908,690,TRUE,TRUE,
144,300 E Washington St,43.04917899,-76.14814041,1650,600,TRUE,TRUE,
145,241 Lorraine Ave,43.02303041,-76.13190497,795,null,TRUE,TRUE,
146,The Laurel,43.04785601,-76.13979466,1869,499,TRUE,TRUE,
147,The Laurel,43.04785601,-76.13979466,2069,568,TRUE,TRUE,
148,Upoint,43.04634516,-152.2659205,1899,null,TRUE,TRUE,
149,505 Walnut Ave Syracuse,43.04654672,-76.13144088,2220,null,TRUE,TRUE,
150,910 Madison Street,43.04528459,-76.13358184,1810,null,TRUE,TRUE,
151,1201 Harrison StSyracuse,43.04432761,-76.1298723,1350,null,TRUE,TRUE,
152,Empire Syracuse,43.04516685,-76.15268993,1895,970,TRUE,FALSE,
153,908 skyler commons,43.04410049,-76.1352663,1650,400,TRUE,TRUE,
